Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.10     0.00      180     0.00     0.00  ezxml_set_txt
  0.00      1.10     0.00      173     0.00     0.00  GetNodeTokens
  0.00      1.10     0.00      171     0.00     0.00  my_calloc
  0.00      1.10     0.00      139     0.00     0.00  comp_td_costs
  0.00      1.10     0.00      139     0.00     0.00  get_next_hash
  0.00      1.10     0.00      125     0.00     0.00  ezxml_set_attr
  0.00      1.10     0.00      124     0.00     0.00  load_net_slack
  0.00      1.10     0.00      124     0.00     0.00  load_timing_graph_net_delays
  0.00      1.10     0.00      123     0.00     0.00  load_criticalities
  0.00      1.10     0.00      123     0.00     0.00  update_screen
  0.00      1.10     0.00      121     0.00     0.00  load_sblock_pattern_lookup
  0.00      1.10     0.00       57     0.00     0.00  alloc_ivector_and_copy_int_list
  0.00      1.10     0.00       43     0.00     0.00  ezxml_child
  0.00      1.10     0.00        6     0.00     0.00  alloc_and_load_grid
  0.00      1.10     0.00        5     0.00     0.00  alloc_matrix3
  0.00      1.10     0.00        5     0.00     0.00  my_realloc
  0.00      1.10     0.00        4     0.00     0.00  comp_width
  0.00      1.10     0.00        4     0.00     0.00  free_chunk_memory
  0.00      1.10     0.00        4     0.00     0.00  free_matrix3
  0.00      1.10     0.00        4     0.00     0.00  get_class_range_for_block
  0.00      1.10     0.00        3     0.00     0.00  ProcessOption
  0.00      1.10     0.00        3     0.00     0.00  Process_Fc
  0.00      1.10     0.00        3     0.00     0.00  alloc_and_load_pin_to_track_map
  0.00      1.10     0.00        3     0.00     0.00  free_ivec_vector
  0.00      1.10     0.00        3     0.00     0.00  free_matrix4
  0.00      1.10     0.00        2     0.00     0.00  ProcessCB_SB
  0.00      1.10     0.00        2     0.00     0.00  ProcessChanWidthDistrDir
  0.00      1.10     0.00        2     0.00     0.00  alloc_hash_table
  0.00      1.10     0.00        2     0.00     0.00  alloc_matrix4
  0.00      1.10     0.00        2     0.00     0.00  comp_bb_cost
  0.00      1.10     0.00        2     0.00     0.00  free_hash_table
  0.00      1.10     0.00        2     0.00     0.00  free_rr_graph
  0.00      1.10     0.00        2     0.00     0.00  init_chan
  0.00      1.10     0.00        2     0.00     0.00  load_chan_rr_indices
  0.00      1.10     0.00        2     0.00     0.00  load_rr_indexed_data_T_values
  0.00      1.10     0.00        2     0.00     0.00  my_fopen
  0.00      1.10     0.00        1     0.00     0.00  ProcessTypes
  0.00      1.10     0.00        1     0.00     0.00  XmlReadArch
  0.00      1.10     0.00        1     0.00     0.00  add_rr_graph_C_from_switches
  0.00      1.10     0.00        1     0.00     0.00  alloc_and_load_rr_indexed_data
  0.00      1.10     0.00        1     0.00     0.00  alloc_and_load_rr_node_indices
  0.00      1.10     0.00        1     0.00     0.00  alloc_and_load_rr_node_route_structs
  0.00      1.10     0.00        1     0.00     0.00  alloc_and_load_seg_details
  0.00      1.10     0.00        1     0.00     0.00  alloc_and_load_timing_graph
  0.00      1.10     0.00        1     0.00     0.00  alloc_and_load_timing_graph_levels
  0.00      1.10     0.00        1     0.00     0.10  alloc_lookups_and_criticalities
  0.00      1.10     0.00        1     0.00     0.00  alloc_net_delay
  0.00      1.10     0.00        1     0.00     0.00  alloc_route_structs
  0.00      1.10     0.00        1     0.00     0.00  alloc_route_tree_timing_structs
  0.00      1.10     0.00        1     0.00     0.00  alloc_sblock_pattern_lookup
  0.00      1.10     0.00        1     0.00     0.00  alloc_timing_driven_route_structs
  0.00      1.10     0.00        1     0.00     0.10  build_rr_graph
  0.00      1.10     0.00        1     0.00     0.00  check_netlist
  0.00      1.10     0.00        1     0.00     0.00  check_rr_graph
  0.00      1.10     0.00        1     0.00     0.00  check_timing_graph
  0.00      1.10     0.00        1     0.00     0.10  compute_delay_lookup_tables
  0.00      1.10     0.00        1     0.00     0.00  ezxml_new
  0.00      1.10     0.00        1     0.00     0.00  ezxml_parse_file
  0.00      1.10     0.00        1     0.00     0.00  ezxml_parse_str
  0.00      1.10     0.00        1     0.00     0.00  ezxml_str2utf8
  0.00      1.10     0.00        1     0.00     0.00  free_int_list
  0.00      1.10     0.00        1     0.00     0.00  free_lookups_and_criticalities
  0.00      1.10     0.00        1     0.00     0.00  free_net_delay
  0.00      1.10     0.00        1     0.00     0.00  free_route_structs
  0.00      1.10     0.00        1     0.00     0.00  free_route_tree_timing_structs
  0.00      1.10     0.00        1     0.00     0.00  free_rr_node_indices
  0.00      1.10     0.00        1     0.00     0.00  free_rr_node_route_structs
  0.00      1.10     0.00        1     0.00     0.00  free_sblock_pattern_lookup
  0.00      1.10     0.00        1     0.00     0.00  free_seg_details
  0.00      1.10     0.00        1     0.00     0.00  free_timing_driven_route_structs
  0.00      1.10     0.00        1     0.00     0.00  free_timing_graph
  0.00      1.10     0.00        1     0.00     0.00  free_trace_structs
  0.00      1.10     0.00        1     0.00     0.00  init_draw_coords
  0.00      1.10     0.00        1     0.00     0.00  init_route_structs
  0.00      1.10     0.00        1     0.00     0.00  my_srandom
  0.00      1.10     0.00        1     0.00     0.00  post_place_sync
  0.00      1.10     0.00        1     0.00     0.00  print_place
  0.00      1.10     0.00        1     0.00     0.00  read_netlist
  0.00      1.10     0.00        1     0.00     0.00  start_hash_table_iterator
  0.00      1.10     0.00        1     0.00     0.00  sync_nets_to_blocks

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.91% of 1.10 seconds

index % time    self  children    called     name
                0.01    1.09       1/1           place_and_route [2]
[1]    100.0    0.01    1.09       1         try_place [1]
                0.74    0.25  869998/869998      try_swap [3]
                0.00    0.10       1/1           alloc_lookups_and_criticalities [5]
                0.00    0.00       2/2           comp_bb_cost [16]
                0.00    0.00    2086/377666      my_malloc [19]
                0.00    0.00     511/511         get_mst_of_net [47]
                0.00    0.00     139/139         comp_td_costs [76]
                0.00    0.00     138/3022684     my_irand [17]
                0.00    0.00     124/124         load_timing_graph_net_delays [80]
                0.00    0.00     124/124         load_net_slack [79]
                0.00    0.00     123/123         update_screen [82]
                0.00    0.00     123/123         load_criticalities [81]
                0.00    0.00       5/171         my_calloc [75]
                0.00    0.00       1/2           init_chan [103]
                0.00    0.00       1/437         alloc_matrix [62]
                0.00    0.00       1/1           init_draw_coords [140]
                0.00    0.00       1/430         free_matrix [64]
                0.00    0.00       1/1           free_net_delay [130]
                0.00    0.00       1/1           free_lookups_and_criticalities [129]
-----------------------------------------------
                                                 <spontaneous>
[2]    100.0    0.00    1.10                 place_and_route [2]
                0.01    1.09       1/1           try_place [1]
                0.00    0.00       1/1           print_place [144]
                0.00    0.00       1/1           post_place_sync [143]
-----------------------------------------------
                0.74    0.25  869998/869998      try_place [1]
[3]     90.0    0.74    0.25  869998         try_swap [3]
                0.19    0.00 25424969/25424969     comp_td_point_to_point_delay [4]
                0.05    0.00 3008047/3008047     update_bb [11]
                0.01    0.00  315164/315200      get_bb_from_scratch [13]
                0.00    0.00 3022546/3022684     my_irand [17]
                0.00    0.00  638248/638248      my_frand [18]
                0.00    0.00       4/377666      my_malloc [19]
-----------------------------------------------
                0.19    0.00 25424969/25424969     try_swap [3]
[4]     17.3    0.19    0.00 25424969         comp_td_point_to_point_delay [4]
-----------------------------------------------
                0.00    0.10       1/1           try_place [1]
[5]      9.1    0.00    0.10       1         alloc_lookups_and_criticalities [5]
                0.00    0.10       1/1           compute_delay_lookup_tables [7]
                0.00    0.00     511/6904        my_chunk_malloc [36]
                0.00    0.00       1/1           alloc_and_load_timing_graph [114]
                0.00    0.00       1/1           alloc_net_delay [116]
                0.00    0.00       1/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.10       1/1           compute_delay_lookup_tables [7]
[6]      9.1    0.00    0.10       1         build_rr_graph [6]
                0.01    0.06   55176/55176       get_track_to_tracks [8]
                0.03    0.00   15972/15972       get_track_to_ipins [12]
                0.00    0.00    1120/1120        get_unidir_opin_connections [14]
                0.00    0.00     121/121         load_sblock_pattern_lookup [15]
                0.00    0.00   29040/29040       get_seg_start [27]
                0.00    0.00   29040/29040       get_seg_end [26]
                0.00    0.00   25078/26562       get_rr_node_index [29]
                0.00    0.00   17092/17092       alloc_and_load_edges_and_switches [35]
                0.00    0.00    6464/377666      my_malloc [19]
                0.00    0.00       3/3           alloc_and_load_pin_to_track_map [94]
                0.00    0.00       3/3           free_matrix4 [96]
                0.00    0.00       2/5           alloc_matrix3 [86]
                0.00    0.00       2/437         alloc_matrix [62]
                0.00    0.00       2/4           get_class_range_for_block [91]
                0.00    0.00       2/430         free_matrix [64]
                0.00    0.00       2/4           free_matrix3 [90]
                0.00    0.00       1/1           alloc_and_load_seg_details [113]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [111]
                0.00    0.00       1/1           alloc_sblock_pattern_lookup [119]
                0.00    0.00       1/1           add_rr_graph_C_from_switches [109]
                0.00    0.00       1/1           alloc_and_load_rr_indexed_data [110]
                0.00    0.00       1/6904        my_chunk_malloc [36]
                0.00    0.00       1/478         load_net_rr_terminals [48]
                0.00    0.00       1/1           check_rr_graph [122]
                0.00    0.00       1/1           free_seg_details [136]
                0.00    0.00       1/1           free_sblock_pattern_lookup [135]
-----------------------------------------------
                0.00    0.10       1/1           alloc_lookups_and_criticalities [5]
[7]      9.1    0.00    0.10       1         compute_delay_lookup_tables [7]
                0.00    0.10       1/1           build_rr_graph [6]
                0.00    0.00     361/361         postscript [65]
                0.00    0.00     153/377666      my_malloc [19]
                0.00    0.00     100/477         timing_driven_route_net [58]
                0.00    0.00     100/478         load_net_rr_terminals [48]
                0.00    0.00       7/437         alloc_matrix [62]
                0.00    0.00       3/430         free_matrix [64]
                0.00    0.00       2/2           free_rr_graph [102]
                0.00    0.00       1/2           init_chan [103]
                0.00    0.00       1/1           alloc_route_structs [117]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [112]
                0.00    0.00       1/1           alloc_route_tree_timing_structs [118]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [120]
                0.00    0.00       1/1           init_route_structs [141]
                0.00    0.00       1/1           free_rr_node_route_structs [134]
                0.00    0.00       1/1           free_trace_structs [139]
                0.00    0.00       1/1           free_route_structs [131]
                0.00    0.00       1/1           free_route_tree_timing_structs [132]
                0.00    0.00       1/1           free_timing_driven_route_structs [137]
-----------------------------------------------
                0.01    0.06   55176/55176       build_rr_graph [6]
[8]      6.2    0.01    0.06   55176         get_track_to_tracks [8]
                0.00    0.06   65868/65868       get_unidir_track_to_chan_seg [10]
-----------------------------------------------
                0.00    0.00     440/68548       load_sblock_pattern_lookup [15]
                0.00    0.00    2240/68548       get_unidir_opin_connections [14]
                0.06    0.00   65868/68548       get_unidir_track_to_chan_seg [10]
[9]      5.5    0.06    0.00   68548         label_wire_muxes [9]
                0.00    0.00   68548/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.06   65868/65868       get_track_to_tracks [8]
[10]     5.2    0.00    0.06   65868         get_unidir_track_to_chan_seg [10]
                0.06    0.00   65868/68548       label_wire_muxes [9]
                0.00    0.00   65868/218668      insert_in_edge_list [23]
                0.00    0.00   30888/377666      my_malloc [19]
-----------------------------------------------
                0.05    0.00 3008047/3008047     try_swap [3]
[11]     4.5    0.05    0.00 3008047         update_bb [11]
-----------------------------------------------
                0.03    0.00   15972/15972       build_rr_graph [6]
[12]     2.7    0.03    0.00   15972         get_track_to_ipins [12]
                0.00    0.00   78880/218668      insert_in_edge_list [23]
                0.00    0.00   29040/29040       is_cbox [28]
-----------------------------------------------
                0.00    0.00      36/315200      comp_bb_cost [16]
                0.01    0.00  315164/315200      try_swap [3]
[13]     0.9    0.01    0.00  315200         get_bb_from_scratch [13]
-----------------------------------------------
                0.00    0.00    1120/1120        build_rr_graph [6]
[14]     0.2    0.00    0.00    1120         get_unidir_opin_connections [14]
                0.00    0.00    2240/68548       label_wire_muxes [9]
                0.00    0.00   73920/218668      insert_in_edge_list [23]
-----------------------------------------------
                0.00    0.00     121/121         build_rr_graph [6]
[15]     0.0    0.00    0.00     121         load_sblock_pattern_lookup [15]
                0.00    0.00     440/68548       label_wire_muxes [9]
                0.00    0.00   21912/21912       get_simple_switch_block_track [32]
                0.00    0.00     440/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.00       2/2           try_place [1]
[16]     0.0    0.00    0.00       2         comp_bb_cost [16]
                0.00    0.00      36/315200      get_bb_from_scratch [13]
-----------------------------------------------
                0.00    0.00     138/3022684     try_place [1]
                0.00    0.00 3022546/3022684     try_swap [3]
[17]     0.0    0.00    0.00 3022684         my_irand [17]
-----------------------------------------------
                0.00    0.00  638248/638248      try_swap [3]
[18]     0.0    0.00    0.00  638248         my_frand [18]
-----------------------------------------------
                0.00    0.00       1/377666      check_netlist [121]
                0.00    0.00       1/377666      update_traceback [61]
                0.00    0.00       1/377666      alloc_and_load_rr_node_route_structs [112]
                0.00    0.00       1/377666      alloc_route_tree_timing_structs [118]
                0.00    0.00       1/377666      init_route_tree_to_source [54]
                0.00    0.00       1/377666      alloc_and_load_rr_indexed_data [110]
                0.00    0.00       1/377666      alloc_net_delay [116]
                0.00    0.00       1/377666      alloc_and_load_timing_graph_levels [115]
                0.00    0.00       1/377666      ReadOptions [154]
                0.00    0.00       1/377666      alloc_lookups_and_criticalities [5]
                0.00    0.00       3/377666      add_to_mod_list [34]
                0.00    0.00       3/377666      alloc_timing_driven_route_structs [120]
                0.00    0.00       4/377666      XmlReadArch [108]
                0.00    0.00       4/377666      try_swap [3]
                0.00    0.00       5/377666      alloc_sblock_pattern_lookup [119]
                0.00    0.00       6/377666      alloc_and_load_pin_to_track_map [94]
                0.00    0.00       8/377666      node_to_heap [21]
                0.00    0.00       8/377666      alloc_route_structs [117]
                0.00    0.00      28/377666      update_route_tree [60]
                0.00    0.00      91/377666      ProcessTypes [107]
                0.00    0.00     153/377666      compute_delay_lookup_tables [7]
                0.00    0.00     192/377666      SetupVPR [155]
                0.00    0.00     244/377666      load_chan_rr_indices [104]
                0.00    0.00     267/377666      alloc_and_load_seg_details [113]
                0.00    0.00     307/377666      alloc_and_load_rr_node_indices [111]
                0.00    0.00     346/377666      GetNodeTokens [74]
                0.00    0.00     440/377666      load_sblock_pattern_lookup [15]
                0.00    0.00     766/377666      alloc_and_load_grid [85]
                0.00    0.00    1022/377666      get_mst_of_net [47]
                0.00    0.00    1022/377666      sync_nets_to_blocks [147]
                0.00    0.00    1298/377666      insert_in_hash_table [45]
                0.00    0.00    2001/377666      read_netlist [145]
                0.00    0.00    2086/377666      try_place [1]
                0.00    0.00    2720/377666      alloc_and_load_timing_graph [114]
                0.00    0.00    5880/377666      ReadLineTokens [42]
                0.00    0.00    6464/377666      build_rr_graph [6]
                0.00    0.00   30888/377666      get_unidir_track_to_chan_seg [10]
                0.00    0.00   34184/377666      alloc_and_load_edges_and_switches [35]
                0.00    0.00   68548/377666      label_wire_muxes [9]
                0.00    0.00  218668/377666      insert_in_edge_list [23]
[19]     0.0    0.00    0.00  377666         my_malloc [19]
-----------------------------------------------
                0.00    0.00     477/222559      add_route_tree_to_heap [49]
                0.00    0.00  222082/222559      timing_driven_route_net [58]
[20]     0.0    0.00    0.00  222559         get_timing_driven_expected_cost [20]
-----------------------------------------------
                0.00    0.00     477/222559      add_route_tree_to_heap [49]
                0.00    0.00  222082/222559      timing_driven_route_net [58]
[21]     0.0    0.00    0.00  222559         node_to_heap [21]
                0.00    0.00       8/377666      my_malloc [19]
                0.00    0.00       4/5           my_realloc [87]
-----------------------------------------------
                0.00    0.00  222082/222082      timing_driven_route_net [58]
[22]     0.0    0.00    0.00  222082         get_rr_cong_cost [22]
-----------------------------------------------
                0.00    0.00   65868/218668      get_unidir_track_to_chan_seg [10]
                0.00    0.00   73920/218668      get_unidir_opin_connections [14]
                0.00    0.00   78880/218668      get_track_to_ipins [12]
[23]     0.0    0.00    0.00  218668         insert_in_edge_list [23]
                0.00    0.00  218668/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.00   78880/78880       add_rr_graph_C_from_switches [109]
[24]     0.0    0.00    0.00   78880         seg_index_of_cblock [24]
-----------------------------------------------
                0.00    0.00   65868/65868       add_rr_graph_C_from_switches [109]
[25]     0.0    0.00    0.00   65868         seg_index_of_sblock [25]
-----------------------------------------------
                0.00    0.00   29040/29040       build_rr_graph [6]
[26]     0.0    0.00    0.00   29040         get_seg_end [26]
-----------------------------------------------
                0.00    0.00   29040/29040       build_rr_graph [6]
[27]     0.0    0.00    0.00   29040         get_seg_start [27]
-----------------------------------------------
                0.00    0.00   29040/29040       get_track_to_ipins [12]
[28]     0.0    0.00    0.00   29040         is_cbox [28]
-----------------------------------------------
                0.00    0.00     264/26562       load_rr_indexed_data_T_values [105]
                0.00    0.00     264/26562       alloc_and_load_rr_indexed_data [110]
                0.00    0.00     956/26562       load_net_rr_terminals [48]
                0.00    0.00   25078/26562       build_rr_graph [6]
[29]     0.0    0.00    0.00   26562         get_rr_node_index [29]
-----------------------------------------------
                0.00    0.00   22465/22465       timing_driven_route_net [58]
[30]     0.0    0.00    0.00   22465         free_heap_data [30]
-----------------------------------------------
                0.00    0.00   22465/22465       timing_driven_route_net [58]
[31]     0.0    0.00    0.00   22465         get_heap_head [31]
-----------------------------------------------
                0.00    0.00   21912/21912       load_sblock_pattern_lookup [15]
[32]     0.0    0.00    0.00   21912         get_simple_switch_block_track [32]
-----------------------------------------------
                0.00    0.00   20292/20292       check_rr_graph [122]
[33]     0.0    0.00    0.00   20292         check_node [33]
-----------------------------------------------
                0.00    0.00   19536/19536       timing_driven_route_net [58]
[34]     0.0    0.00    0.00   19536         add_to_mod_list [34]
                0.00    0.00       3/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.00   17092/17092       build_rr_graph [6]
[35]     0.0    0.00    0.00   17092         alloc_and_load_edges_and_switches [35]
                0.00    0.00   34184/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.00       1/6904        build_rr_graph [6]
                0.00    0.00     511/6904        alloc_net_delay [116]
                0.00    0.00     511/6904        alloc_lookups_and_criticalities [5]
                0.00    0.00    5881/6904        alloc_and_load_timing_graph [114]
[36]     0.0    0.00    0.00    6904         my_chunk_malloc [36]
-----------------------------------------------
                0.00    0.00    5604/5604        alloc_and_load_timing_graph_levels [115]
[37]     0.0    0.00    0.00    5604         insert_in_int_list [37]
-----------------------------------------------
                0.00    0.00    1724/4966        alloc_and_load_timing_graph [114]
                0.00    0.00    3242/4966        check_netlist [121]
[38]     0.0    0.00    0.00    4966         is_opin [38]
-----------------------------------------------
                0.00    0.00       2/3774        XmlReadArch [108]
                0.00    0.00     229/3774        ProcessTypes [107]
                0.00    0.00    3543/3774        read_netlist [145]
[39]     0.0    0.00    0.00    3774         my_atoi [39]
-----------------------------------------------
                0.00    0.00     173/3302        ProcessTypes [107]
                0.00    0.00    3129/3302        read_netlist [145]
[40]     0.0    0.00    0.00    3302         FreeTokens [40]
-----------------------------------------------
                0.00    0.00     161/3287        ProcessTypes [107]
                0.00    0.00    3126/3287        read_netlist [145]
[41]     0.0    0.00    0.00    3287         CountTokens [41]
-----------------------------------------------
                0.00    0.00    2943/2943        read_netlist [145]
[42]     0.0    0.00    0.00    2943         ReadLineTokens [42]
                0.00    0.00    5880/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.00       1/1359        XmlReadArch [108]
                0.00    0.00       2/1359        ProcessTypes [107]
                0.00    0.00       4/1359        ReadOptions [154]
                0.00    0.00    1352/1359        read_netlist [145]
[43]     0.0    0.00    0.00    1359         my_strdup [43]
-----------------------------------------------
                0.00    0.00     954/954         timing_driven_route_net [58]
[44]     0.0    0.00    0.00     954         pathfinder_update_one_cost [44]
-----------------------------------------------
                0.00    0.00     649/649         check_netlist [121]
[45]     0.0    0.00    0.00     649         insert_in_hash_table [45]
                0.00    0.00    1298/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.00     120/551         ezxml_parse_str [126]
                0.00    0.00     431/551         ezxml_char_content [63]
[46]     0.0    0.00    0.00     551         ezxml_decode [46]
-----------------------------------------------
                0.00    0.00     511/511         try_place [1]
[47]     0.0    0.00    0.00     511         get_mst_of_net [47]
                0.00    0.00    1022/377666      my_malloc [19]
-----------------------------------------------
                0.00    0.00       1/478         build_rr_graph [6]
                0.00    0.00     100/478         compute_delay_lookup_tables [7]
                0.00    0.00     377/478         postscript [65]
[48]     0.0    0.00    0.00     478         load_net_rr_terminals [48]
                0.00    0.00     956/26562       get_rr_node_index [29]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [58]
[49]     0.0    0.00    0.00     477         add_route_tree_to_heap [49]
                0.00    0.00     477/222559      get_timing_driven_expected_cost [20]
                0.00    0.00     477/222559      node_to_heap [21]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [58]
[50]     0.0    0.00    0.00     477         empty_heap [50]
-----------------------------------------------
                                 247             free_route_tree [51]
                0.00    0.00     477/477         timing_driven_route_net [58]
[51]     0.0    0.00    0.00     477+247     free_route_tree [51]
                                 247             free_route_tree [51]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [58]
[52]     0.0    0.00    0.00     477         free_traceback [52]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [58]
[53]     0.0    0.00    0.00     477         heapsort [53]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [58]
[54]     0.0    0.00    0.00     477         init_route_tree_to_source [54]
                0.00    0.00       1/377666      my_malloc [19]
-----------------------------------------------
                                 166             load_rt_subtree_Tdel [55]
                0.00    0.00     477/477         update_route_tree [60]
[55]     0.0    0.00    0.00     477+166     load_rt_subtree_Tdel [55]
                                 166             load_rt_subtree_Tdel [55]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [58]
[56]     0.0    0.00    0.00     477         mark_ends [56]
-----------------------------------------------
                0.00    0.00     477/477         timing_driven_route_net [58]
[57]     0.0    0.00    0.00     477         reset_path_costs [57]
-----------------------------------------------
                0.00    0.00     100/477         compute_delay_lookup_tables [7]
                0.00    0.00     377/477         postscript [65]
[58]     0.0    0.00    0.00     477         timing_driven_route_net [58]
                0.00    0.00  222082/222082      get_rr_cong_cost [22]
                0.00    0.00  222082/222559      get_timing_driven_expected_cost [20]
                0.00    0.00  222082/222559      node_to_heap [21]
                0.00    0.00   22465/22465       get_heap_head [31]
                0.00    0.00   22465/22465       free_heap_data [30]
                0.00    0.00   19536/19536       add_to_mod_list [34]
                0.00    0.00     954/954         pathfinder_update_one_cost [44]
                0.00    0.00     477/477         free_traceback [52]
                0.00    0.00     477/477         heapsort [53]
                0.00    0.00     477/477         mark_ends [56]
